DateTime,Website Name,URL,Status,Ping (ms),TCP Connect (ms),TLS Handshake (ms),DNS Time (ms),HTTP TTFB (ms),HTTP FirstChunk (ms),HTTP Total (ms),Redirects,Redirect Times (ms),Content Size (KB),Keyword Check,SSL Days Left,SSL Expiry Date,Probes Summary,Notes
2025-10-15T10:28:17.924140+00:00,Kendu Leaves Portal,https://kenduleaves.odisha.gov.in/,Up,Failed (No Response),36.63,N/A,3.67,636.86,0.4,0.1,0,[],8904,Pass,34,2025-11-18T11:19:02+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",ICMP failed
2025-10-15T10:28:21.435014+00:00,Odisha Forest Main Portal,https://odishaforest.in/,Up,148.39,83.07,N/A,4.39,2782.96,219.65,0.0,0,[],Unknown,Pass,35,2025-11-19T22:20:58+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",
2025-10-15T10:28:27.562050+00:00,Wildlife Anukampa,https://www.odwlanukampa.in/index.php/home/applications,Up,265.52,106.45,N/A,35.81,882.95,1.74,0.02,0,[],Unknown,Pass,52,2025-12-06T17:57:23+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",
2025-10-15T10:28:34.049433+00:00,Odisha Bamboo,https://www.odishabamboo.org/,Up,78.81,25.96,N/A,4.12,503.07,0.52,0.12,0,[],11821,Pass,87,2026-01-10T19:33:19+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",
2025-10-15T10:28:35.607871+00:00,OFS Disposition List (HRD),https://hrd.odishaforest.in/index.php/admin/login,Up,156.16,10169.22,N/A,3.4,1254.84,0.4,0.02,0,[],Unknown,Pass,35,2025-11-19T22:20:58+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",
2025-10-15T10:28:59.458377+00:00,TT Permit Odisha,https://www.ttpermitodisha.in/,Up,136.71,293.13,N/A,3.71,1365.18,0.27,0.01,0,[],Unknown,Pass,45,2025-11-30T00:03:57+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",
2025-10-15T10:28:07.747040+00:00,Forest GIS (OFMS),https://odishaforestgis.in/ofms/,Up,Failed (No Response),37.35,N/A,2.74,518.74,0.2,0.02,0,[],Unknown,Pass,74,2025-12-29T04:05:01+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",ICMP failed
2025-10-15T10:28:11.199562+00:00,Odisha Map Server,https://mapserver.odishaforestgis.in/geoserver/web/,Up,Failed (No Response),51.49,N/A,3.85,599.74,0.36,0.02,0,[],Unknown,Skipped,85,2026-01-08T11:17:41+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",ICMP failed
2025-10-15T10:28:14.358111+00:00,SMPB Odisha,https://smpbodisha.in/,Up,146.97,207.19,N/A,73.96,1420.75,0.52,0.02,0,[],Unknown,Pass,70,2025-12-25T02:57:27+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",
2025-10-15T10:28:18.710696+00:00,CAMPA Odisha,https://campa.odisha.gov.in/,Up,Failed (No Response),58.63,N/A,3.55,598.4,0.63,0.02,0,[],Unknown,Pass,49,2025-12-04T04:57:50+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",ICMP failed
2025-10-15T10:28:21.995900+00:00,Kendu Leaves Portal,https://kenduleaves.odisha.gov.in/,Up,Failed (No Response),35.09,N/A,3.81,714.94,0.39,0.08,0,[],8904,Pass,34,2025-11-18T11:19:02+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",ICMP failed
2025-10-15T10:28:25.490649+00:00,Odisha Forest Main Portal,https://odishaforest.in/,Up,122.9,84.82,N/A,3.48,1492.84,1362.31,0.0,0,[],Unknown,Pass,35,2025-11-19T22:20:58+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",
2025-10-15T10:28:31.014203+00:00,Wildlife Anukampa,https://www.odwlanukampa.in/index.php/home/applications,Up,100.69,265.84,N/A,3.33,1114.6,10.51,0.04,0,[],Unknown,Pass,52,2025-12-06T17:57:23+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",
2025-10-15T10:28:35.275568+00:00,Odisha Bamboo,https://www.odishabamboo.org/,Up,51.56,53.75,N/A,3.57,96.32,0.39,0.09,0,[],11821,Pass,87,2026-01-10T19:33:19+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",
2025-10-15T10:28:36.205080+00:00,OFS Disposition List (HRD),https://hrd.odishaforest.in/index.php/admin/login,Up,148.76,10120.54,N/A,3.62,846.33,0.53,0.02,0,[],Unknown,Pass,35,2025-11-19T22:20:58+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",
2025-10-15T10:28:59.712103+00:00,TT Permit Odisha,https://www.ttpermitodisha.in/,Up,264.89,264.08,N/A,3.36,1176.25,0.32,0.03,0,[],Unknown,Pass,45,2025-11-30T00:03:57+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",
2025-10-15T10:28:51.272825+00:00,Forest GIS (OFMS),https://odishaforestgis.in/ofms/,Up,Failed (No Response),59.64,N/A,39.89,511.83,0.2,0.02,0,[],Unknown,Pass,74,2025-12-29T04:05:01+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",ICMP failed
2025-10-15T10:28:54.647577+00:00,Odisha Map Server,https://mapserver.odishaforestgis.in/geoserver/web/,Up,Failed (No Response),30.55,N/A,4.37,622.49,0.5,0.02,0,[],Unknown,Skipped,85,2026-01-08T11:17:41+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",ICMP failed
2025-10-15T10:28:57.652703+00:00,SMPB Odisha,https://smpbodisha.in/,Up,147.58,243.02,N/A,2.99,1012.89,0.58,0.03,0,[],Unknown,Pass,70,2025-12-25T02:57:27+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",
2025-10-15T10:29:03.195909+00:00,CAMPA Odisha,https://campa.odisha.gov.in/,Up,Failed (No Response),30.26,N/A,4.23,457.0,0.43,0.01,0,[],Unknown,Pass,49,2025-12-04T04:57:50+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",ICMP failed
2025-10-15T10:29:06.481865+00:00,Kendu Leaves Portal,https://kenduleaves.odisha.gov.in/,Up,Failed (No Response),59.8,N/A,39.2,629.25,0.3,0.05,0,[],8904,Pass,34,2025-11-18T11:19:02+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",ICMP failed
2025-10-15T10:29:10.012382+00:00,Odisha Forest Main Portal,https://odishaforest.in/,Up,100.4,137.15,N/A,83.91,1262.89,0.86,0.0,0,[],Unknown,Pass,35,2025-11-19T22:20:58+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",
2025-10-15T10:29:14.233030+00:00,Wildlife Anukampa,https://www.odwlanukampa.in/index.php/home/applications,Up,236.28,236.82,N/A,105.35,1638.96,0.68,0.02,0,[],Unknown,Pass,52,2025-12-06T17:57:23+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",
2025-10-15T10:29:19.472791+00:00,Odisha Bamboo,https://www.odishabamboo.org/,Up,6.91,48.29,N/A,5.16,505.43,0.29,0.04,0,[],11821,Pass,87,2026-01-10T19:33:19+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",
2025-10-15T10:29:20.755906+00:00,OFS Disposition List (HRD),https://hrd.odishaforest.in/index.php/admin/login,Up,143.28,107.92,N/A,3.24,1158.21,0.42,0.02,0,[],Unknown,Pass,35,2025-11-19T22:20:58+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",
2025-10-15T10:29:23.821695+00:00,TT Permit Odisha,https://www.ttpermitodisha.in/,Up,102.67,248.81,N/A,3.58,701.75,0.32,0.02,0,[],Unknown,Pass,45,2025-11-30T00:03:57+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",
